,queries,labels
0,Airograph hose,AIRBRUSH HOSE
1,Airbooks,AIRBRUSH HOSE
2,Humidity trap,MOISTURE TRAP
3,Humidity trap,MOISTURE TRAP
4,Declassified,UNCLASSIFIED
5,NOT IDENTIFIED,UNIDENTIFIED
6,Case,BRUSH CASE
7,Brush breakage,BRUSH CASE
8,School holder,BRUSH HOLDER
9,Flask,BRUSH HOLDER
10,Holder of canvas/art work,CANVAS/ART WORK HOLDER
11,Troubled / Work of Art,CANVAS/ART WORK HOLDER
12,Easel bag,EASEL BAG
13,Easebag,EASEL BAG
14,Case of cake,PASTEL CASE
15,Pastel case,PASTEL CASE
16,Light/Final Brush Artists,ARTISTS BLENDER/FINISHING BRUSH
17,Blender artists / Brush finish,ARTISTS BLENDER/FINISHING BRUSH
18,Calligraphy brush artists,ARTISTS CALLIGRAPHY BRUSH
19,Artists' calligraphy brush,ARTISTS CALLIGRAPHY BRUSH
20,Artists flat brush,ARTISTS FLAT BRUSH
21,Flat brushes artists,ARTISTS FLAT BRUSH
22,Round artists brush,ARTISTS ROUND BRUSH
23,Artists Round Brush,ARTISTS ROUND BRUSH
24,Artists Script Lner Brush,ARTISTS SCRIPT LINER BRUSH
25,Brushing of artists' lining,ARTISTS SCRIPT LINER BRUSH
26,Artist observer brush,ARTISTS SPOTTER BRUSH
27,Abrupt observation of artists,ARTISTS SPOTTER BRUSH
28,Artists Canvas Roll,ARTISTS CANVAS ROLL
29,Artist canvas roll,ARTISTS CANVAS ROLL
30,Pre-prepared tables artists,ARTISTS PRE-PRIMED BOARDS
31,Pre-regime artists,ARTISTS PRE-PRIMED BOARDS
32,Artists stretched the canvas,ARTISTS STRETCHED CANVAS
33,Stretched canvas of artists,ARTISTS STRETCHED CANVAS
34,DESK,DESKTOP
35,Desk,DESKTOP
36,STANDING,FREESTANDING
37,ON FOOT,FREESTANDING
38,NOPE,NO
39,Independent easel,FREESTANDING EASEL
40,Self -supporting easel,FREESTANDING EASEL
41,Knee easel,KNEE-TOP EASEL
42,Knee,KNEE-TOP EASEL
43,Easel,TABLE-TOP EASEL
44,Table easel,TABLE-TOP EASEL
45,Artists Canvas First,ARTISTS CANVAS PRIMER
46,Artist canvas primer,ARTISTS CANVAS PRIMER
47,Arab rubber artists,ARTISTS GUM ARABIC
48,Arabian gum artists,ARTISTS GUM ARABIC
49,Artists masking liquid,ARTISTS MASKING FLUID
50,Artists masking the liquid,ARTISTS MASKING FLUID
51,Image varnish artists,ARTISTS PICTURE VARNISH
52,Artists Picture Varnish,ARTISTS PICTURE VARNISH
53,Artist moisturizing agent,ARTISTS WETTING AGENT
54,Wet agent of artists,ARTISTS WETTING AGENT
55,Acrylic painting artists,ARTISTS ACRYLIC PAINT
56,Acrylic painting artists,ARTISTS ACRYLIC PAINT
57,Artist coating painting,ARTISTS COATING PAINT
58,Artists coating painting,ARTISTS COATING PAINT
59,Artist emulsion/latex painting,ARTISTS EMULSION/LATEX PAINT
60,Emulsion of artists / latex painting,ARTISTS EMULSION/LATEX PAINT
61,Artists fabric painting,ARTISTS FABRIC PAINT
62,Artists' fabric paint,ARTISTS FABRIC PAINT
63,Artists clicking your finger,ARTISTS FINGERPAINT
64,Fingerpaint artists,ARTISTS FINGERPAINT
65,Glass painting artists,ARTISTS GLASS PAINT
66,Glass painting artists,ARTISTS GLASS PAINT
67,Artists leading liquid,ARTISTS LIQUID LEADING
68,Liquid artists leading,ARTISTS LIQUID LEADING
69,Oil painting artists,ARTISTS OIL PAINT
70,Artist oil painting,ARTISTS OIL PAINT
71,Temple artists,ARTISTS TEMPERA
72,Tempera of artists,ARTISTS TEMPERA
73,Watercolor painting artists,ARTISTS WATERCOLOUR PAINT
74,Watercolor painting artists,ARTISTS WATERCOLOUR PAINT
75,Palette of artists with lid,ARTISTS PALETTE WITH LID
76,Pallet of artists with lid,ARTISTS PALETTE WITH LID
77,Artist tear palette,ARTISTS TEAR-OFF PALETTE
78,Pallet of artists tears,ARTISTS TEAR-OFF PALETTE
79,Chalk pastel artists,ARTISTS CHALK PASTELS
80,Artists Craie Pastels,ARTISTS CHALK PASTELS
81,Charcoal artists,ARTISTS CHARCOAL
82,Wooden coal artists,ARTISTS CHARCOAL
83,Artist colored pencil,ARTISTS COLOURED PENCIL
84,Artists,ARTISTS COLOURED PENCIL
85,Wax crayon artists,ARTISTS WAX CRAYONS
86,Wax pencils,ARTISTS WAX CRAYONS
87,Sand art bottle,SAND ART BOTTLE
88,Sand bottle,SAND ART BOTTLE
89,Sand art jewelry,SAND ART JEWELLERY
90,Sand art jewelry,SAND ART JEWELLERY
91,Sand art painting,SAND ART PAINT
92,Sand painting,SAND ART PAINT
93,Sand art pen,SAND ART PEN
94,Sand art pen,SAND ART PEN
95,Sand art image board,SAND ART PICTURE BOARD
96,Sand art board,SAND ART PICTURE BOARD
97,Sculpted sand sand,SAND ART SCULPTING SAND
98,Sculpture sand sand,SAND ART SCULPTING SAND
99,Basket base,BASKET BASE
100,Basket base,BASKET BASE
101,Basket buckle,BASKET BUCKLE
102,Basket loop,BASKET BUCKLE
103,Basket mango,BASKET HANDLE
104,Basket handle,BASKET HANDLE
105,Basket,BASKET HOOP
106,Basket,BASKET HOOP
107,Paper rope,PAPER ROPE
108,Paper rope,PAPER ROPE
109,RUSH,REED
110,Cord,RUSH CORD
111,Hasty cord,RUSH CORD
112,Sea grass,SEA GRASS
113,Maritime grass,SEA GRASS
114,Clamp,BASKETRY CLAMP
115,Basin,BASKETRY CLAMP
116,Tita Autola Rest,BASKETRY SELF-LOCKING TIE
117,Auto-Vernery Auto-Verneillable Tie,BASKETRY SELF-LOCKING TIE
118,Basket tissue tool,BASKETRY WEAVING TOOL
119,Basin,BASKETRY WEAVING TOOL
120,BEE WAX,BEESWAX
121,Beeswax,BEESWAX
122,Candle wicks,CANDLE WICKS
123,Candle wicks,CANDLE WICKS
124,Honeycomb leaves,HONEYCOMB SHEETS
125,Honeycomb leaves,HONEYCOMB SHEETS
126,Paraffin wax,PARAFFIN WAX
127,PARAFFIN,PARAFFIN WAX
128,Vegetable wax,VEGETABLE WAX
129,Vegetable wax,VEGETABLE WAX
130,Base leveling,BASE LEVELLER
131,Basic leveler,BASE LEVELLER
132,CRUCIBLE,MELTING POT
133,Mold base,MOULD BASE
134,Mold base,MOULD BASE
135,Clamp,MOULD CLAMP
136,Mold tightening,MOULD CLAMP
137,Mold plug,MOULD PLUG
138,Mold,MOULD PLUG
139,Mold sealant,MOULD SEALER
140,Mold sealer,MOULD SEALER
141,Conical immersion ring,TAPER DIPPING RING
142,Cone diving ring,TAPER DIPPING RING
143,Mecha Support Bar,WICK HOLDER BAR
144,Brim bar,WICK HOLDER BAR
145,Wicker recharge,WICKER REFILL
146,Wicker recharge,WICKER REFILL
147,Melt,MELTER
148,To melt,MELTER
149,Account burner,BEAD BURNER
150,Pearl burner,BEAD BURNER
151,Glass burner,GLASS BURNER
152,Glass burner,GLASS BURNER
153,Copper sheet,COPPER FOIL
154,Enamel pieces,ENAMEL PIECES
155,Enamel parts,ENAMEL PIECES
156,Glass shapes,GLASS SHAPES
157,Glass forms,GLASS SHAPES
158,Incrustation marquetry strips,INLAY MARQUETRY STRIPS
159,Incorporate marking bands,INLAY MARQUETRY STRIPS
160,Arrival arrived,LEAD CAME
161,The head came,LEAD CAME
162,Strip,LEAD STRIP
163,Lead strip,LEAD STRIP
164,Accessories,BROOCH FITTINGS
165,BROCHER,BROOCH FITTINGS
166,Earrings,EARRING FITTINGS
167,Ear loop fittings,EARRING FITTINGS
