,queries,labels
0,Airograph equipment: spare parts/accessories,Airbrushing Equipment - Replacement Parts/Accessories
1,Airbrush equipment - Parts / replacement accessories,Airbrushing Equipment - Replacement Parts/Accessories
2,Others airbrush supplies,Airbrushing Supplies Other
3,Airograph supplies,Airbrushing Supplies Other
4,Airograph supply varieties packages,Airbrushing Supplies Variety Packs
5,Airograph supplies variety packs,Airbrushing Supplies Variety Packs
6,Artist accessories,Artists Accessories
7,Artist accessories,Artists Accessories
8,Artist brushes/applicators,Artists Brushes/Applicators
9,Artists' brushes / applicators,Artists Brushes/Applicators
10,CANVAS/PRE-SEMBRATED BOARDS,Artists Canvas/Pre-primed Boards
11,Canvas artists / pre-regidian plates,Artists Canvas/Pre-primed Boards
12,Artists drawing drawings,Artists Drawing Boards
13,Planches of drawing artists,Artists Drawing Boards
14,Artist easels,Artists Easels
15,Artists,Artists Easels
16,Artists painting surface agents,Artists Painting Surface Agents
17,Artists painting surface agents,Artists Painting Surface Agents
18,Artists painting/drawing supplies others,Artists Painting/Drawing Supplies Other
19,Painting artists / Drawing supplies,Artists Painting/Drawing Supplies Other
20,Artists painting/draw variety packages,Artists Painting/Drawing Supplies Variety Packs
21,Paintings painting / drawing provides varieties packs,Artists Painting/Drawing Supplies Variety Packs
22,Painting artists/dyes,Artists Paints/Dyes
23,Painted artists / dyes,Artists Paints/Dyes
24,Artist palettes,Artists Palettes
25,Artist pallets,Artists Palettes
26,Cake/coal artists/crayons,Artists Pastels/Charcoal/Crayons
27,Pastels / coal artists / pencils,Artists Pastels/Charcoal/Crayons
28,Sand art supplies,Sand Art Supplies
29,Sand art supplies,Sand Art Supplies
30,Arts/Crafts Variety Packages,Arts/Crafts Variety Packs
31,Packs of craft varieties / craftsmanship,Arts/Crafts Variety Packs
32,Cash handraft accessories,Basketry Craft Accessories
33,Basin craftsmanship,Basketry Craft Accessories
34,Handmade baskets,Basketry Craft Materials
35,Vannerie craft materials,Basketry Craft Materials
36,Casketry Craft supplies others,Basketry Craft Supplies Other
37,Basketry craft supplies other,Basketry Craft Supplies Other
38,Varieties of handicraft supplies,Basketry Craft Supplies Variety Packs
39,Basketry Craft Supplies Varientes Packs,Basketry Craft Supplies Variety Packs
40,Bash craft tools (without power),Basketry Craft Tools (Non Powered)
41,Basin craft tools (not fed),Basketry Craft Tools (Non Powered)
42,Candle/Soap craft materials,Candle/Soap Craft Materials
43,Candle / soap craft materials,Candle/Soap Craft Materials
44,Candle/Soap craft molds,Candle/Soap Craft Moulds
45,Candle / soap craft mussels,Candle/Soap Craft Moulds
46,Candle/soap craft supplies,Candle/Soap Craft Supplies Other
47,Candle / soap crafts,Candle/Soap Craft Supplies Other
48,Packages of varieties of craft supplies of candles/soap,Candle/Soap Craft Supplies Variety Packs
49,Packs of varieties of candle / soap craft supplies,Candle/Soap Craft Supplies Variety Packs
50,Candle/Soap craft tools (not enhanced),Candle/Soap Craft Tools (Non Powered)
51,Candle / soap craft tools (not fed),Candle/Soap Craft Tools (Non Powered)
52,Candle/Soap craft tools (fed),Candle/Soap Craft Tools (Powered)
53,Candle / soap craft tools (powered),Candle/Soap Craft Tools (Powered)
54,Glass craft tools (fed),Glasswork Craft Tools (Powered)
55,Glass craft tools (powered),Glasswork Craft Tools (Powered)
56,Crystal/enamel/marquetry materials,Glasswork/Enamelling/Marquetry Craft Materials
57,Craft materials in glass / emotions / marquettery,Glasswork/Enamelling/Marquetry Craft Materials
58,Glasswork/Enamet/Marquetía Craft Supplies others,Glasswork/Enamelling/Marquetry Craft Supplies Other
59,Glasswork / Enmaming / Marquetry Craft Supplies Other,Glasswork/Enamelling/Marquetry Craft Supplies Other
60,Glass/enamel varieties/marquetry crafts,Glasswork/Enamelling/Marquetry Craft Supplies Variety Packs
61,Glasswork / Enmaming / Marquetry Craft Supplies Variety Packs,Glasswork/Enamelling/Marquetry Craft Supplies Variety Packs
62,Accessories for jewelry crafts,Jewellery Craft Accessories
63,Jewelry craft accessories,Jewellery Craft Accessories
64,Artisanal jewelry materials,Jewellery Craft Materials
65,Jewelry craft materials,Jewellery Craft Materials
66,Jewelry craft supplies others,Jewellery Craft Supplies Other
67,Supply jewelry,Jewellery Craft Supplies Other
68,Packages of varieties of jewelry craft supplies,Jewellery Craft Supplies Variety Packs
69,Variety Packs of craft supplies,Jewellery Craft Supplies Variety Packs
70,Foam craft materials,Foam Craft Materials
71,Foam craft materials,Foam Craft Materials
72,Lace/tapes/cables/braids,Lace/Ribbons/Cords/Braids
73,Lace / ribbons / cords / braids,Lace/Ribbons/Cords/Braids
74,Sewing accessories,Needlework Accessories
75,Needle accessories,Needlework Accessories
76,Needle/textile fabrics,Needlework Fabrics/Textiles
77,Aiguille fabrics / textiles,Needlework Fabrics/Textiles
78,Sewing fasteners,Needlework Fasteners
79,Needle ties,Needlework Fasteners
80,Hand tools/needle machines,Needlework Hand/Machine Tools
81,Hand / machine tool needle,Needlework Hand/Machine Tools
82,AGUEZ MARKING EQUIPMENT,Needlework Marking Equipment
83,Needle marking equipment,Needlework Marking Equipment
84,Needle storage,Needlework Storage
85,Needle storage,Needlework Storage
86,Sewing templates,Needlework Templates
87,Needle work models,Needlework Templates
88,Sewing threads,Needlework Threads
89,Needle threads,Needlework Threads
90,Sewing/toys to make other craft supplies,Needlework/Toy Making Craft Supplies Other
91,Needle / manufacturing work other other,Needlework/Toy Making Craft Supplies Other
92,Customs/toys to make crafts,Needlework/Toy Making Craft Supplies Variety Packs
93,Packs of needle varieties / toys manufacturing varieties packs,Needlework/Toy Making Craft Supplies Variety Packs
94,Sewing/knitting machinery (not enhanced),Sewing/Knitting Machinery (Non Powered)
95,Sewing / knitting machines (not fed),Sewing/Knitting Machinery (Non Powered)
96,Sewing/knitting machinery (fed),Sewing/Knitting Machinery (Powered)
97,Sewing / knitting machinery (powered),Sewing/Knitting Machinery (Powered)
98,Accessories for toys,Toy Making Accessories
99,Toys manufacturing accessories,Toy Making Accessories
100,Paper craft tools (not enhanced),Paper Craft Tools (Non Powered)
101,Paper craft tools (not fed),Paper Craft Tools (Non Powered)
102,Paper crafts/card supplies,Paper Craft/Card Making Supplies Other
103,Paper crafts / cards make supplies,Paper Craft/Card Making Supplies Other
104,Paper Crafts/Cards Manufacture Packages of supplies varieties,Paper Craft/Card Making Supplies Variety Packs
105,Paper card / card card manufacturing variety packs,Paper Craft/Card Making Supplies Variety Packs
106,Handmade paper/card accessories,Paper/Card Making Craft Accessories
107,Paper / card craft accessories,Paper/Card Making Craft Accessories
108,Handicraft suppression,Printing Craft Supplies Other
109,Print supplies,Printing Craft Supplies Other
110,Printing of Variety Packages Complexes,Printing Craft Supplies Variety Packs
111,Print variety supplies supplies,Printing Craft Supplies Variety Packs
112,Printing crafts tools,Printing Craft Tools
113,Printing craft tools,Printing Craft Tools
114,Print printing (not fed),Printing Press (Non Powered)
115,Imprimerie (not fed),Printing Press (Non Powered)
116,Print printing (fed),Printing Press (Powered)
117,Imprimerie (fed),Printing Press (Powered)
118,Hornos (fed),Kilns (Powered)
119,Ovens (powered),Kilns (Powered)
120,Ceramic wheels (not enhanced),Pottery Wheels (Non Powered)
121,Pottery wheels (not fed),Pottery Wheels (Non Powered)
122,Ceramic wheels (fed),Pottery Wheels (Powered)
123,Pottery wheels (powered),Pottery Wheels (Powered)
124,Sculptor tools (not enhanced),Sculptors Tools (Non Powered)
125,Sculptors tools (not fed),Sculptors Tools (Non Powered)
126,Sculptor tools (fed),Sculptors Tools (Powered)
127,Sculptors tools (powered),Sculptors Tools (Powered)
128,Ceramic craft sculptors/materials,Sculptors/Pottery Craft Materials
129,Pottery craft sculptors / materials,Sculptors/Pottery Craft Materials
130,Ceramic sculptors/crafts supplies to others,Sculptors/Pottery Craft Supplies Other
131,Supply sculptors / pottery,Sculptors/Pottery Craft Supplies Other
132,Sculptor Suppliers/Ceramic Varieties Supplies,Sculptors/Pottery Craft Supplies Variety Packs
133,Sculptors / Pottery Caral supplied,Sculptors/Pottery Craft Supplies Variety Packs
134,Stop/Fabric Craft: Spare parts/accessories,Spinning/Weaving Craft - Replacement Parts/Accessories
135,Rotation / weaving craflure - Parts / replacement accessories,Spinning/Weaving Craft - Replacement Parts/Accessories
136,Craft/fabric craft supplies,Spinning/Weaving Craft Supplies Other
137,Spinning / weaving of craft supplies,Spinning/Weaving Craft Supplies Other
138,Hiled/Fabric Creation Supplies Variety Packages,Spinning/Weaving Craft Supplies Variety Packs
139,Spinning / weaving craft supplies varieties packs,Spinning/Weaving Craft Supplies Variety Packs
140,Fibers/spinning/spinning threads,Spinning/Weaving Fibres/Yarns
141,Fibers / Spinning / Weaving,Spinning/Weaving Fibres/Yarns
142,Spun/fabric machines (not enhanced),Spinning/Weaving Machines (Non Powered)
143,Spinning / weaving machines (not fed),Spinning/Weaving Machines (Non Powered)
144,Spun/fabric machines (fed),Spinning/Weaving Machines (Powered)
145,Spinning / weaving machines (powered),Spinning/Weaving Machines (Powered)
146,LOOLLANCE/Engraving boat: Spare parts/accessories,Wood Burning/Engraving Craft - Replacement Parts/Accessories
147,Bourning / engraving engraving - Parts / replacement accessories,Wood Burning/Engraving Craft - Replacement Parts/Accessories
148,Wood Churning/Handicraft engraving,Wood Burning/Engraving Craft Supplies Other
149,Wooden craft supplies / engraving,Wood Burning/Engraving Craft Supplies Other
150,Forest burning/engraving tools (not enhanced),Wood Burning/Engraving Craft Tools (Non Powered)
151,Wooden craft tools / engraving (not fed),Wood Burning/Engraving Craft Tools (Non Powered)
152,Wood/engraving craft tools (fed),Wood Burning/Engraving Craft Tools (Powered)
153,Wooden craft tools / engraving (powered),Wood Burning/Engraving Craft Tools (Powered)
154,Analog/digital converters,Analogue/Digital Converters
155,Analog / digital converters,Analogue/Digital Converters
156,Audio headphones,Audio Headsets
157,Headphones,Audio Headsets
158,Visual audio accessories: spare parts,Audio Visual Accessories - Replacement Parts
159,Audiovisual accessories - Replacement parts,Audio Visual Accessories - Replacement Parts
160,OTHER VISUAL AUDIO ACCESSORIES,Audio Visual Accessories Other
161,Visual audio accessories Other,Audio Visual Accessories Other
162,Vario audio accessories varieties,Audio Visual Accessories Variety Packs
163,Visual audio accessories variety packs,Audio Visual Accessories Variety Packs
164,Bags/Boxes/Visual Audio Wallets,Audio Visual Bags/Boxes/Cases/Wallets
165,Audio-visual / boxes / cases / wallet bags,Audio Visual Bags/Boxes/Cases/Wallets
166,Audio cleaning products,Audio Visual Cleaning Products
167,Audio-visual cleaning products,Audio Visual Cleaning Products
168,Visual audio labeling systems,Audio Visual Labelling Systems
169,Visual audio labeling systems,Audio Visual Labelling Systems
170,Visual audio supports/supports,Audio Visual Stands/Brackets
171,Audio supports / supports,Audio Visual Stands/Brackets
172,Casetes Convertidators,Converter Cassettes
173,Converter cassettes,Converter Cassettes
174,MP3 coupling stations,MP3 Docking Stations
175,MP3 reception stations,MP3 Docking Stations
176,Signal reinforcements,Signal Boosters
177,Signaling boosters,Signal Boosters
178,Active sound effect lighting,Sound-active Effect Lighting
179,Sound effect,Sound-active Effect Lighting
180,Switch-Boxes,Switch-boxes
181,Switching tanks,Switch-boxes
182,Television Internet packages,Television Internet Packs
183,TV internet packs,Television Internet Packs
184,Universal remote controls,Universal Remote Controls
185,Universal remote controls,Universal Remote Controls
186,Vibration shock absorbers/,Vibration Absorbers/Dampers
187,Absorbents / Vibration shock absorbers,Vibration Absorbers/Dampers
188,Visual distribution amplifiers,Visual Distribution Amplifiers
189,Visual distribution amplifiers,Visual Distribution Amplifiers
190,Wireless television links,Wireless Television Links
191,Wireless TV links,Wireless Television Links
192,Vario audio varieties packages,Audio Visual Equipment Variety Packs
193,Visual audio equipment variety packs,Audio Visual Equipment Variety Packs
194,Audio at home amplifiers/preamples,Home Audio Amplifiers/Preamplifiers
195,Audio amplifiers / home preamplifiers,Home Audio Amplifiers/Preamplifiers
196,Dead of audio cassette at home,Home Audio Cassette Decks
